num_states,length_alphabet,num_strings_found,is_Infinite
2,8,399,True
2,10,1355,True
2,2,8,True
2,4,0,False
2,6,345,True
2,8,1561,True
2,10,2808,True
2,2,3,True
2,4,0,False
2,6,113,True
2,8,458,True
2,10,4689,True
2,2,13,True
2,4,118,True
2,6,0,False
2,8,340,True
2,10,0,False
2,2,11,True
2,4,0,False
2,6,345,True
2,8,0,False
2,10,0,False
2,2,22,True
2,4,33,True
2,6,208,True
2,8,0,False
2,10,0,False
2,2,6,True
2,4,68,True
2,6,0,False
2,8,2333,True
2,10,1865,True
2,2,13,True
2,4,0,False
2,6,0,False
2,8,1561,True
2,10,0,False
2,2,0,False
2,4,33,True
2,6,537,True
2,8,1540,True
2,10,4689,True
2,2,6,True
2,4,23,True
2,6,442,True
2,8,0,False
2,10,0,False
2,2,0,False
2,4,47,True
2,6,0,False
2,8,0,False
2,10,4689,True
2,2,21,True
2,4,0,False
2,6,0,False
2,8,0,False
2,10,844,True
2,2,0,False
2,4,57,True
2,6,0,False
2,8,0,False
2,10,0,False
2,2,6,True
2,4,83,True
2,6,146,True
2,8,393,True
2,10,0,False
2,2,7,True
2,4,33,True
2,6,0,False
2,8,0,False
2,10,2010,True
2,2,17,True
2,4,0,False
2,6,367,True
2,8,3025,True
2,10,1414,True
2,2,11,True
2,4,0,False
2,6,786,True
2,8,0,False
2,10,5505,True
2,2,0,False
2,4,71,True
2,6,124,True
2,8,0,False
2,10,0,False
2,2,16,True
2,4,33,True
2,6,629,True
2,8,2808,True
2,10,6870,True
2,2,0,False
2,4,124,True
2,6,618,True
2,8,1561,True
2,10,0,False
2,2,8,True
2,4,34,True
2,6,786,True
2,8,555,True
2,10,4689,True
2,2,8,True
2,4,124,True
2,6,157,True
2,8,1561,True
2,10,4689,True
2,2,0,False
2,4,0,False
2,6,124,True
2,8,0,False
2,10,0,False
num_states,length_alphabet,num_strings_found,is_Infinite
3,2,0,False
3,4,1596,True
3,6,6254,True
3,8,42402,True
3,10,236144,True
3,2,33,True
3,4,1915,True
3,6,3344,True
3,8,12333,True
3,10,0,False
3,2,44,True
3,4,465,True
3,6,2900,True
3,8,18476,True
3,10,108675,True
3,2,7,True
3,4,0,False
3,6,0,False
3,8,9030,True
3,10,164749,True
3,2,73,True
3,4,0,False
3,6,0,False
3,8,132137,True
3,10,0,False
3,2,1,False
3,4,0,False
3,6,17605,True
3,8,53358,True
3,10,36460,True
3,2,7,True
3,4,170,True
3,6,9387,True
3,8,12202,True
3,10,190826,True
3,2,64,True
3,4,2668,True
3,6,4882,True
3,8,55993,True
3,10,413830,True
3,2,0,False
3,4,0,False
3,6,10982,True
3,8,8385,True
3,10,440868,True
3,2,129,True
3,4,727,True
3,6,1425,True
3,8,31815,True
3,10,444973,True
3,2,83,True
3,4,0,False
3,6,6145,True
3,8,16001,True
3,10,43423,True
3,2,59,True
3,4,390,True
3,6,0,False
3,8,0,False
3,10,100529,True
3,2,15,True
3,4,410,True
3,6,14654,True
3,8,0,False
3,10,276778,True
3,2,16,True
3,4,64,True
3,6,19536,True
3,8,54411,True
3,10,0,False
3,2,108,True
3,4,0,False
3,6,6153,True
3,8,101381,True
3,10,0,False
3,2,29,True
3,4,2252,True
3,6,6653,True
3,8,0,False
3,10,265718,True
3,2,54,True
3,4,1096,True
3,6,6881,True
3,8,0,False
3,10,518866,True
3,2,74,True
3,4,1096,True
3,6,12278,True
3,8,9532,True
3,10,86183,True
3,2,4,True
3,4,313,True
3,6,0,False
3,8,137264,True
3,10,0,False
3,2,19,True
3,4,877,True
3,6,4776,True
3,8,44796,True
3,10,228608,True
3,2,7,True
3,4,129,True
3,6,2142,True
3,8,0,False
3,10,268257,True
3,2,37,True
3,4,232,True
3,6,2186,True
3,8,78184,True
3,10,69093,True
3,2,0,False
3,4,8,True
3,6,0,False
3,8,31589,True
3,10,354540,True
3,2,44,True
3,4,0,False
3,6,0,False
3,8,0,False
3,10,258597,True
3,2,81,True
3,4,1745,True
3,6,0,False
3,8,31501,True
3,10,404230,True
3,2,9,True
3,4,190,True
3,6,9627,True
3,8,25649,True
3,10,41652,True
3,2,22,True
3,4,376,True
3,6,2142,True
3,8,20836,True
3,10,64557,True
3,2,8,True
3,4,1123,True
3,6,13203,True
3,8,120712,True
3,10,103266,True
3,2,0,False
3,4,121,True
3,6,14446,True
3,8,0,False
3,10,0,False
3,2,15,True
3,4,875,True
3,6,23320,True
3,8,28969,True
3,10,0,False
3,2,86,True
3,4,743,True
3,6,5684,True
3,8,94751,True
3,10,381634,True
3,2,7,True
3,4,0,False
3,6,9870,True
3,8,31296,True
3,10,423936,True
3,2,0,False
3,4,917,True
3,6,5465,True
3,8,137264,True
3,10,137264,True
3,2,108,True
3,4,545,True
3,6,15270,True
3,8,44899,True
3,10,0,False
3,2,34,True
3,4,255,True
3,6,0,False
3,8,28662,True
3,10,72927,True
3,2,2,False
3,4,0,False
3,6,1096,True
3,8,57128,True
3,10,89348,True
3,2,13,True
3,4,0,False
3,6,15217,True
3,8,106336,True
3,10,342930,True
3,2,62,True
3,4,97,True
3,6,17088,True
3,8,111590,True
3,10,419125,True
3,2,48,True
3,4,117,True
3,6,13512,True
3,8,0,False
3,10,253553,True
3,2,8,True
3,4,1408,True
3,6,13002,True
3,8,21337,True
3,10,0,False
3,2,5,True
3,4,716,True
3,6,2310,True
3,8,0,False
3,10,245984,True
3,2,6,True
3,4,24,True
3,6,0,False
3,8,11207,True
3,10,0,False
3,2,60,True
3,4,567,True
3,6,7815,True
3,8,100386,True
3,10,410337,True
3,2,34,True
3,4,846,True
3,6,0,False
3,8,9994,True
3,10,460858,True
3,2,18,True
3,4,867,True
3,6,7585,True
3,8,55993,True
3,10,138598,True
3,2,20,True
3,4,258,True
3,6,0,False
3,8,0,False
3,10,50564,True
3,2,86,True
3,4,604,True
3,6,7741,True
3,8,0,False
3,10,67845,True
3,2,9,True
3,4,298,True
3,6,7129,True
3,8,104187,True
3,10,316966,True
3,2,45,True
3,4,0,False
3,6,4498,True
3,8,78207,True
3,10,0,False
3,2,9,True
3,4,292,True
3,6,0,False
3,8,137264,True
3,10,0,False
3,2,14,True
3,4,64,True
3,6,11009,True
3,8,79458,True
3,10,73900,True
3,2,21,True
3,4,0,False
3,6,3828,True
3,8,7926,True
3,10,575792,True
3,2,0,False
3,4,640,True
3,6,0,False
3,8,66730,True
3,10,479964,True
3,2,65,True
3,4,563,True
3,6,0,False
3,8,94199,True
3,10,325070,True
3,2,64,True
3,4,1096,True
3,6,1639,True
3,8,65788,True
3,10,0,False
3,2,94,True
3,4,0,False
3,6,1096,True
3,8,0,False
3,10,137264,True
3,2,15,True
3,4,0,False
3,6,19536,True
3,8,462,True
3,10,0,False
3,2,60,True
3,4,129,True
3,6,7326,True
3,8,19536,True
3,10,331400,True
3,2,7,True
3,4,0,False
3,6,10131,True
3,8,50668,True
3,10,90247,True
3,2,21,True
3,4,1096,True
3,6,2187,True
3,8,50503,True
3,10,0,False
3,2,86,True
3,4,0,False
3,6,7763,True
3,8,18572,True
3,10,0,False
3,2,1,False
3,4,415,True
3,6,689,True
3,8,23417,True
3,10,57581,True
3,2,61,True
3,4,365,True
3,6,16816,True
3,8,91491,True
3,10,56694,True
3,2,21,True
3,4,617,True
3,6,5513,True
3,8,18906,True
3,10,0,False
3,2,66,True
3,4,1096,True
3,6,30168,True
3,8,137458,True
3,10,298161,True
3,2,72,True
3,4,729,True
3,6,0,False
3,8,10466,True
3,10,0,False
3,2,7,True
3,4,449,True
3,6,13124,True
3,8,0,False
3,10,140542,True
3,2,22,True
3,4,2037,True
3,6,5465,True
3,8,64098,True
3,10,110499,True
3,2,0,False
3,4,251,True
3,6,5465,True
3,8,39620,True
3,10,63993,True
3,2,0,False
3,4,599,True
3,6,8292,True
3,8,51355,True
3,10,17964,True
3,2,43,True
3,4,3638,True
3,6,1680,True
3,8,77371,True
3,10,396251,True
3,2,8,True
3,4,372,True
3,6,3082,True
3,8,0,False
3,10,218958,True
3,2,101,True
3,4,192,True
3,6,7205,True
3,8,61760,True
3,10,247100,True
3,2,30,True
3,4,129,True
3,6,6654,True
3,8,55993,True
3,10,32985,True
3,2,17,True
3,4,667,True
3,6,9764,True
3,8,53592,True
3,10,0,False
3,2,34,True
3,4,479,True
3,6,11867,True
3,8,0,False
3,10,156803,True
3,2,22,True
3,4,43,True
3,6,7354,True
3,8,176010,True
3,10,244576,True
3,2,28,True
3,4,8,True
3,6,1404,True
3,8,99506,True
3,10,219920,True
3,2,0,False
3,4,233,True
3,6,11499,True
3,8,0,False
3,10,64550,True
3,2,33,True
3,4,987,True
3,6,19536,True
3,8,43398,True
3,10,60574,True
3,2,50,True
3,4,240,True
3,6,3382,True
3,8,44122,True
3,10,121667,True
3,2,74,True
3,4,0,False
3,6,4361,True
3,8,0,False
3,10,597880,True
3,2,93,True
3,4,598,True
3,6,0,False
3,8,109442,True
3,10,417462,True
3,2,21,True
3,4,744,True
3,6,5790,True
3,8,32622,True
3,10,308060,True
3,2,7,True
3,4,185,True
3,6,4849,True
3,8,55993,True
3,10,0,False
3,2,127,True
3,4,1333,True
3,6,3897,True
3,8,18874,True
3,10,280780,True
3,2,8,True
3,4,552,True
3,6,3179,True
3,8,31836,True
3,10,84340,True
3,2,86,True
3,4,129,True
3,6,0,False
3,8,126032,True
3,10,188096,True
3,2,0,False
3,4,517,True
3,6,6469,True
3,8,37976,True
3,10,449510,True
3,2,0,False
3,4,129,True
3,6,13210,True
3,8,128384,True
3,10,597880,True
3,2,53,True
3,4,730,True
3,6,13205,True
3,8,0,False
3,10,0,False
3,2,4,True
3,4,612,True
3,6,6469,True
3,8,120271,True
3,10,413613,True
3,2,23,True
3,4,376,True
3,6,5255,True
3,8,0,False
3,10,495922,True
3,2,14,True
3,4,0,False
3,6,11722,True
3,8,26244,True
3,10,81498,True
3,2,114,True
3,4,0,False
3,6,8174,True
3,8,16973,True
3,10,127784,True
3,2,43,True
3,4,253,True
3,6,5465,True
3,8,137264,True
3,10,80286,True
3,2,86,True
3,4,129,True
3,6,5465,True
3,8,91882,True
3,10,69814,True
3,2,43,True
3,4,366,True
3,6,5465,True
3,8,52463,True
3,10,275465,True
3,2,13,True
3,4,1189,True
3,6,8674,True
3,8,58636,True
3,10,0,False
3,2,9,True
3,4,463,True
3,6,2738,True
3,8,19536,True
3,10,0,False
